area,h1,h2,h3,h4,h5,h6,h7
13713.5,0.426937,0.0337119,0.000305043,3.69234e-05,-9.40136e-10,5.64364e-06,3.80417e-09,
13831.5,0.426619,0.0336564,0.0003224,4.10813e-05,-8.89782e-10,6.2598e-06,4.64337e-09,
13756.5,0.428377,0.0331961,0.000338689,4.79808e-05,-2.0255e-09,6.59682e-06,5.77137e-09,
13734.5,0.429063,0.0333492,0.000341755,5.11981e-05,-2.48849e-09,6.92339e-06,6.29857e-09,
13666.5,0.428656,0.0323131,0.000293628,5.80917e-05,-4.5378e-09,6.46856e-06,6.08037e-09,
13636.5,0.430158,0.0325211,0.000276945,6.11611e-05,-5.44297e-09,6.36146e-06,5.80814e-09,
13685.5,0.431597,0.0330927,0.000262778,6.93947e-05,-4.82114e-09,8.31641e-06,8.03564e-09,
13759.5,0.425077,0.0299999,0.000292797,6.90772e-05,-6.88859e-09,6.43865e-06,7.00407e-09,
13741.5,0.428726,0.0308722,0.000328732,7.7421e-05,-7.82999e-09,7.6193e-06,9.55216e-09,
13732.5,0.428679,0.0307286,0.000337271,7.95412e-05,-7.57601e-09,8.3154e-06,1.05987e-08,
13729,0.428792,0.0307349,0.000343946,8.10635e-05,-7.60921e-09,8.64095e-06,1.11945e-08,
13731,0.427679,0.0291581,0.000299395,8.30869e-05,-7.24285e-09,8.28061e-06,1.09211e-08,
13675,0.42575,0.0280169,0.000388879,9.07547e-05,-7.54951e-09,1.00864e-05,1.52869e-08,
13649.5,0.427172,0.0283051,0.000451578,0.000114674,-7.9653e-09,1.3899e-05,2.485e-08,
13631.5,0.42745,0.0280875,0.000410947,0.00011284,-9.20474e-09,1.27724e-05,2.2488e-08,
13576,0.422941,0.0266438,0.000354203,0.000107732,-1.08296e-08,1.04027e-05,1.80444e-08,
13578,0.423238,0.0267442,0.000385698,0.000110065,-1.18532e-08,1.06909e-05,1.93331e-08,
13718.5,0.419558,0.0256169,0.000415261,0.000113944,-1.18391e-08,1.10257e-05,2.17752e-08,
13723.5,0.419273,0.0253257,0.000448038,0.000108443,-1.25937e-08,9.92418e-06,2.03169e-08,
13799,0.418024,0.0255337,0.000455118,0.000104704,-1.17897e-08,9.86858e-06,1.95809e-08,
13734,0.419202,0.0260626,0.000550588,0.000118608,-1.21487e-08,1.23181e-05,2.77685e-08,
13643,0.422183,0.0266829,0.0005544,0.00012265,-1.09557e-08,1.3251e-05,3.00475e-08,
13634,0.422518,0.0267886,0.000560591,0.000119266,-1.35402e-08,1.18283e-05,2.77073e-08,
13516.5,0.42778,0.0294406,0.000604344,0.00013343,-8.42648e-09,1.66731e-05,3.69411e-08,
13516.5,0.42778,0.0294406,0.000604344,0.00013343,-8.42648e-09,1.66731e-05,3.69411e-08,
13531,0.428377,0.0304337,0.000767577,0.000122079,-6.13817e-09,1.61138e-05,3.68624e-08,
13548,0.431306,0.032681,0.000801705,0.000121616,-9.16273e-10,1.76405e-05,3.79637e-08,
13539,0.431608,0.0328568,0.00078281,0.000120443,-1.20216e-09,1.7405e-05,3.69633e-08,
13498.5,0.431923,0.0336597,0.00108435,0.000180503,3.44142e-08,3.07725e-05,7.20608e-08,
13697,0.430351,0.0349544,0.000990797,0.000138172,1.74772e-08,2.35386e-05,4.80435e-08,
13655,0.431009,0.0351285,0.00105484,0.000145055,1.88838e-08,2.44448e-05,5.35058e-08,
13658,0.430915,0.0351118,0.001049,0.000143554,1.852e-08,2.41901e-05,5.25383e-08,
13738.5,0.431678,0.0367316,0.00104532,0.000122919,1.24121e-08,2.08684e-05,4.22766e-08,
13798,0.432288,0.0381609,0.00115287,0.000122134,1.72718e-08,2.16128e-05,4.245e-08,
13713,0.436141,0.0404281,0.0012233,0.000121704,2.73866e-08,2.35384e-05,3.81466e-08,
13784,0.433162,0.0395356,0.00103671,0.000123885,2.9641e-08,2.41103e-05,3.30535e-08,
13784,0.433162,0.0395356,0.00103671,0.000123885,2.9641e-08,2.41103e-05,3.30535e-08,
13778,0.432858,0.0396551,0.00101764,0.00012183,2.89907e-08,2.38154e-05,3.16184e-08,
13819,0.433312,0.0399917,0.000972829,0.000118853,3.17461e-08,2.37034e-05,2.501e-08,
13827.5,0.431222,0.0397407,0.000918832,0.000121759,3.33662e-08,2.42468e-05,2.33517e-08,
13826.5,0.431003,0.0397188,0.00087616,0.000106416,2.60819e-08,2.11494e-05,1.938e-08,
13842.5,0.430585,0.0396358,0.000840474,0.000112696,2.9698e-08,2.24356e-05,1.79162e-08,
13705.5,0.433866,0.0405487,0.000897634,9.00206e-05,2.3427e-08,1.79747e-05,1.02957e-08,
13695,0.434492,0.0404868,0.00092124,0.000102735,2.89618e-08,2.05311e-05,1.26538e-08,
13864.5,0.432936,0.0439906,0.0014417,0.000241893,1.41715e-07,5.04443e-05,1.79481e-08,
13960.5,0.431877,0.0436078,0.00148128,0.000265262,1.65038e-07,5.48764e-05,2.02579e-08,
13653,0.435236,0.0424553,0.00123933,0.000118743,4.54076e-08,2.18403e-05,-3.62043e-09,
14671.5,0.422728,0.0414611,0.000813512,7.23078e-05,1.68608e-08,1.3357e-05,-4.82354e-09,
14567,0.416124,0.0395515,0.0029062,0.000657703,8.92259e-07,0.00013063,1.75218e-07,
14555.5,0.416571,0.0395396,0.00287163,0.000694903,9.56554e-07,0.000138134,2.20483e-07,
14529,0.417054,0.0399038,0.00303593,0.000772751,1.15455e-06,0.000154273,2.60611e-07,
15148.5,0.406315,0.0355119,0.00225531,0.000433439,4.2851e-07,7.97271e-05,5.41581e-09,
1775.5,0.19775,0.0099578,0.000824109,3.50245e-05,-3.78477e-09,-2.4928e-06,-4.59168e-09,
2983,0.338293,0.0400059,0.00937165,0.000224876,6.80716e-08,-2.70681e-05,3.19279e-07,
15588,0.396923,0.0358212,0.00276301,0.000685334,9.41762e-07,0.000129406,4.96735e-08,
4841.5,0.308912,0.0118032,0.019685,0.00254702,1.58882e-05,-6.25864e-05,-8.53385e-06,
14816.5,0.400687,0.0315873,0.00173997,0.000293889,2.08776e-07,5.1799e-05,2.40592e-08,
4632.5,0.360174,0.0648327,0.0190919,0.00480092,4.31405e-05,0.00108052,-1.58595e-05,
14799,0.401717,0.0316424,0.00176855,0.000297125,2.144e-07,5.23313e-05,2.05805e-08,
4660,0.362069,0.0655369,0.0189561,0.00471182,4.18141e-05,0.00106226,-1.53149e-05,
15075.5,0.398404,0.0315079,0.00270711,0.000706248,9.76388e-07,0.000125024,-1.70329e-08,
12887,0.434518,0.0372219,0.00225013,0.000369825,3.28422e-07,7.13502e-05,7.7154e-08,
12906.5,0.434135,0.0374159,0.00226108,0.00036055,3.18392e-07,6.97228e-05,6.78464e-08,
12863,0.435698,0.0377739,0.00234807,0.000350725,3.15595e-07,6.7986e-05,4.12323e-08,
13021.5,0.430331,0.0362525,0.00242169,0.000259759,2.05624e-07,4.91601e-05,1.2803e-08,
12720,0.438744,0.0376068,0.00269416,0.000369739,3.68013e-07,7.1402e-05,2.72935e-08,
12592.5,0.441101,0.0375638,0.00230408,0.000256964,1.9567e-07,4.96143e-05,2.84186e-08,
12604.5,0.441091,0.0375443,0.00232458,0.000263176,2.03168e-07,5.08159e-05,3.30905e-08,
12857,0.437065,0.0392014,0.0027578,0.000568104,7.08919e-07,0.000111896,5.54864e-08,
12842.5,0.437197,0.039523,0.00281243,0.000588136,7.5559e-07,0.000116192,3.52116e-08,
12663.5,0.431633,0.0341995,0.00283626,0.00046412,5.23505e-07,8.58195e-05,9.74538e-08,
12692,0.437483,0.0354824,0.00237867,0.000313748,2.69175e-07,5.8822e-05,3.1766e-08,
12739.5,0.435919,0.0354957,0.00230131,0.000305504,2.5549e-07,5.71323e-05,1.85242e-08,
12714.5,0.424551,0.0314399,0.00221102,0.000381535,3.46838e-07,6.76372e-05,5.00311e-08,
12785.5,0.425588,0.0336636,0.0023712,0.000405614,3.96181e-07,7.42227e-05,3.57414e-08,
12803,0.424472,0.0334987,0.00247935,0.000445019,4.66081e-07,8.12198e-05,3.57709e-08,
12812.5,0.425162,0.0331535,0.00262201,0.000447022,4.83812e-07,8.08127e-05,1.20286e-08,
12775,0.429612,0.0347303,0.00219897,0.000363923,3.25261e-07,6.66452e-05,-1.38217e-08,
12662.5,0.431809,0.0342855,0.00190063,0.000310541,2.38273e-07,5.61655e-05,-1.20057e-08,
12840.5,0.430646,0.0361958,0.00211937,0.000360509,3.14894e-07,6.72919e-05,-1.19596e-08,
12927.5,0.426333,0.0354117,0.00210831,0.000363873,3.18703e-07,6.77585e-05,1.62836e-09,
12868,0.427899,0.0355542,0.00220381,0.000336323,2.89371e-07,6.28943e-05,1.0159e-08,
