area,h1,h2,h3,h4,h5,h6,h7
12856.5,0.330317,0.0046648,0.000877401,0.000103835,-6.74436e-09,-1.51758e-06,3.06067e-08,
12609.5,0.33565,0.00461781,0.0010439,0.000109455,-6.33461e-09,-2.11342e-06,3.64522e-08,
12609.5,0.33565,0.00461781,0.0010439,0.000109455,-6.33461e-09,-2.11342e-06,3.64522e-08,
12889,0.328933,0.00458709,0.00082195,9.79189e-05,-1.18166e-08,-2.4346e-06,2.51408e-08,
12834,0.329922,0.00456591,0.000917069,0.00010847,-1.40102e-08,-2.73444e-06,3.12109e-08,
12822,0.330245,0.00464758,0.000920685,0.000110758,-1.54864e-08,-2.81156e-06,3.17982e-08,
12822,0.330245,0.00464758,0.000920685,0.000110758,-1.54864e-08,-2.81156e-06,3.17982e-08,
12770.5,0.329175,0.00473002,0.00102431,0.000118811,-1.86607e-08,-3.42329e-06,3.70095e-08,
12290.5,0.33806,0.0049944,0.00107231,0.000122481,-1.84239e-08,-3.57969e-06,4.03833e-08,
11541.5,0.346333,0.0041127,0.000982556,0.00015795,-8.60493e-09,-3.29828e-06,6.16265e-08,
11552.5,0.346207,0.0041403,0.000958958,0.000153763,-9.74127e-09,-3.33449e-06,5.82352e-08,
11025,0.348739,0.00301849,0.00111102,0.000128025,2.42158e-08,-1.35715e-06,4.17721e-08,
11226.5,0.346453,0.00267447,0.000921049,0.000141012,-4.12592e-09,-3.87484e-06,5.06509e-08,
12035,0.33581,0.00339314,0.000919653,9.04509e-05,3.91601e-09,-1.48761e-06,2.57918e-08,
12040.5,0.335425,0.00339882,0.000927748,9.0604e-05,4.17415e-09,-1.53417e-06,2.59348e-08,
11081.5,0.351304,0.00251437,0.000800645,0.000101676,1.91038e-08,-1.49664e-06,2.18318e-08,
11081.5,0.351304,0.00251437,0.000800645,0.000101676,1.91038e-08,-1.49664e-06,2.18318e-08,
11469.5,0.342554,0.00263036,0.000632261,9.01406e-05,1.21831e-08,-1.03398e-06,1.77385e-08,
11019.5,0.350922,0.00250667,0.000658917,0.000108268,2.32091e-08,-7.60552e-07,1.72504e-08,
11017.5,0.350625,0.00252965,0.000683145,0.000109411,2.34078e-08,-7.71635e-07,1.8623e-08,
11321,0.345686,0.0027859,0.000853581,9.89938e-05,1.53996e-08,-1.15477e-06,2.43089e-08,
11573,0.341046,0.00328159,0.000773581,9.43175e-05,1.13844e-08,-7.44343e-07,2.27915e-08,
11572.5,0.34089,0.00326551,0.000770924,9.64432e-05,1.11333e-08,-9.05725e-07,2.38245e-08,
11565.5,0.340948,0.00326724,0.000770344,9.81687e-05,1.25556e-08,-7.20902e-07,2.38987e-08,
12065.5,0.330728,0.00508012,0.00066046,6.32811e-05,5.60618e-09,1.08762e-07,1.16592e-08,
12056.5,0.330299,0.00501267,0.000681186,6.27066e-05,4.24817e-09,-3.26293e-07,1.22439e-08,
11408,0.344696,0.00563751,0.00116932,8.81691e-05,1.31424e-08,-1.30749e-06,2.50746e-08,
11446,0.343057,0.00566777,0.00113538,9.45724e-05,1.87719e-08,-5.47498e-07,2.46572e-08,
11103.5,0.348961,0.00663451,0.00139473,8.67374e-05,1.94315e-08,-5.23283e-07,2.30772e-08,
10634.5,0.354707,0.00696341,0.00176643,6.58747e-05,1.85362e-08,-5.98083e-07,1.27028e-08,
10738,0.355943,0.00791293,0.000940026,4.34942e-05,7.8417e-09,9.74656e-07,3.9816e-09,
10748,0.356617,0.00814579,0.00103441,4.68591e-05,9.39857e-09,1.20241e-06,4.25438e-09,
10738,0.358647,0.00820242,0.000974951,4.4598e-05,7.83152e-09,1.05605e-06,5.01496e-09,
10447,0.353993,0.00605841,0.000722485,2.84112e-05,3.5335e-09,1.18758e-07,2.02072e-09,
10526,0.349378,0.00623541,0.000989101,4.68431e-05,6.14922e-09,-8.99388e-07,7.99082e-09,
10731,0.337567,0.00524249,0.00060475,3.35454e-05,-2.62097e-10,-1.46286e-06,4.7707e-09,
10742,0.338624,0.00546711,0.000552429,3.11173e-05,3.51203e-10,-1.16381e-06,4.06467e-09,
10185,0.352327,0.0063926,0.000672139,2.43166e-05,1.18552e-09,-5.54507e-07,2.8738e-09,
10194,0.351279,0.00639741,0.000649692,2.52475e-05,2.12972e-09,-1.39776e-07,2.43315e-09,
10390.5,0.344751,0.00516748,0.000818743,3.35752e-05,-1.46488e-09,-1.93734e-06,5.37055e-09,
10192,0.34443,0.00516706,0.000755735,2.68834e-05,-1.03084e-09,-1.44233e-06,3.69062e-09,
10217,0.342274,0.00522975,0.000607737,1.69375e-05,-8.93721e-11,-7.81738e-07,1.7161e-09,
10280.5,0.342538,0.00508433,0.000667797,1.71154e-05,-1.39682e-09,-1.16622e-06,1.18197e-09,
10216,0.33928,0.00484059,0.000586404,1.38486e-05,-3.41069e-10,-7.90094e-07,1.20047e-09,
10310.5,0.337103,0.00475783,0.000507649,1.39864e-05,5.26049e-10,-4.17338e-07,1.05462e-09,
10307,0.336445,0.00480505,0.000746486,2.21229e-05,2.42488e-10,-1.04713e-06,2.83262e-09,
10194,0.337333,0.00491474,0.000784795,2.46275e-05,2.05824e-10,-1.18495e-06,3.41761e-09,
10297,0.334489,0.00481224,0.000453752,1.67943e-05,-1.19084e-09,-1.14001e-06,8.55119e-10,
9883,0.341272,0.00452444,0.000413472,2.61218e-05,-2.71035e-09,-1.75683e-06,-1.54336e-10,
9816.5,0.346153,0.00462162,0.000564487,5.87191e-05,-3.89512e-09,-2.74385e-06,9.9556e-09,
9724.5,0.350662,0.00439359,0.000609896,3.36001e-05,-3.99574e-09,-2.15272e-06,2.6776e-09,
9739,0.349548,0.00440696,0.000606022,3.5695e-05,-4.85309e-09,-2.343e-06,2.00236e-09,
9729,0.35014,0.00453354,0.000591176,3.84345e-05,-5.44153e-09,-2.5501e-06,1.98852e-09,
10260,0.339276,0.00409862,0.000529994,3.50223e-05,-2.87337e-09,-1.79541e-06,3.8093e-09,
10935.5,0.327844,0.00375383,0.000484818,3.59927e-05,-2.5491e-09,-1.76835e-06,4.01347e-09,
10744,0.332239,0.00396055,0.000569165,4.38885e-05,-5.39477e-09,-2.54914e-06,4.36036e-09,
10776.5,0.332801,0.00391069,0.000572166,4.68921e-05,-6.88425e-09,-2.82985e-06,3.40628e-09,
10973,0.327745,0.00373279,0.000610151,4.88997e-05,-7.04358e-09,-2.76889e-06,4.66174e-09,
10916.5,0.328694,0.00372938,0.000705843,5.02933e-05,-7.41215e-09,-2.85835e-06,5.90355e-09,
10802.5,0.333064,0.00388161,0.000737441,4.74198e-05,-7.43693e-09,-2.75414e-06,4.82961e-09,
10601.5,0.33424,0.00402126,0.00125273,0.000125194,-4.74217e-08,-7.77003e-06,-1.44678e-08,
10611.5,0.337461,0.00441091,0.00146852,0.000136663,-6.03101e-08,-8.8526e-06,-1.05335e-08,
10629,0.336924,0.00443239,0.00149026,0.000137036,-6.1414e-08,-8.93207e-06,-7.95843e-09,
10597,0.336433,0.00410752,0.00117926,0.000134338,-5.32729e-08,-8.55324e-06,-4.57783e-09,
10653,0.334292,0.00405625,0.0011835,0.000129607,-5.04085e-08,-8.17854e-06,-5.967e-09,
11031,0.329915,0.00432861,0.00146026,0.000140599,-6.18146e-08,-8.83162e-06,-1.5412e-08,
11038,0.329031,0.0043107,0.00138474,0.000127166,-5.28812e-08,-8.14914e-06,-7.1532e-09,
10635.5,0.338426,0.0044119,0.0016557,0.000135568,-6.38141e-08,-8.99723e-06,7.28126e-09,
10964,0.333657,0.00443698,0.00163465,0.000156491,-7.91286e-08,-1.02381e-05,-1.79423e-09,
10742,0.336082,0.00448748,0.00187011,0.000135201,-6.77988e-08,-8.90543e-06,5.00747e-09,
10752,0.336048,0.00455636,0.00196481,0.000140872,-7.38083e-08,-9.37392e-06,6.7198e-09,
10747.5,0.336241,0.0045592,0.00197036,0.000141321,-7.42952e-08,-9.40399e-06,6.43302e-09,
