area,h1,h2,h3,h4,h5,h6,h7
5676,1.50181,1.0461,0.226506,0.119956,0.00155712,-0.0443007,0.0197116,
5763.5,1.50595,1.03345,0.248628,0.117644,-0.00195149,-0.0580763,0.0200251,
5794,1.52099,1.05412,0.257311,0.11226,-0.00435852,-0.0687937,0.018575,
5962,1.50162,1.0343,0.235064,0.104993,-0.00380949,-0.0632866,0.0160483,
5967,1.50034,1.03293,0.234024,0.105345,-0.00356467,-0.0622627,0.016152,
6142.5,1.51702,1.04006,0.240732,0.108301,-0.0039499,-0.0653321,0.017035,
6236.5,1.51104,1.03984,0.234021,0.0979378,-0.00563982,-0.0708738,0.0137125,
6350,1.50821,1.03036,0.236736,0.099475,-0.00485006,-0.0666748,0.0144742,
6344.5,1.50894,1.03025,0.238498,0.0992464,-0.00518207,-0.0677433,0.0143629,
6488.5,1.5033,1.02181,0.235073,0.0920675,-0.00731667,-0.0738828,0.0113982,
6680.5,1.50495,1.02053,0.236062,0.100118,-0.00555822,-0.0684656,0.0143528,
6810,1.49935,1.01859,0.236012,0.0947183,-0.00639266,-0.0701841,0.0126368,
6809,1.49972,1.0192,0.236003,0.0947802,-0.00637177,-0.0701307,0.0126626,
6975,1.491,1.00298,0.228349,0.0993745,-0.00431654,-0.0628293,0.0143338,
7185.5,1.49606,0.993028,0.232515,0.0934014,-0.00776107,-0.075208,0.0113676,
7309.5,1.4892,0.984316,0.235273,0.0927987,-0.00786353,-0.075051,0.0112331,
7360,1.50286,1.01797,0.236164,0.0948489,-0.00669431,-0.0717404,0.0125181,
7360,1.50286,1.01797,0.236164,0.0948489,-0.00669431,-0.0717404,0.0125181,
7521.5,1.50885,1.01569,0.240001,0.0993904,-0.00698264,-0.0735174,0.0136705,
7564,1.51095,1.03851,0.240032,0.0967361,-0.0073074,-0.0748701,0.0128019,
7639.5,1.51881,1.04252,0.244374,0.103274,-0.00574222,-0.0705688,0.0153688,
7640.5,1.51844,1.04196,0.24435,0.103221,-0.00575681,-0.0705948,0.015349,
7844.5,1.4941,0.991169,0.236455,0.0982879,-0.00660172,-0.070426,0.0134512,
7970.5,1.49058,1.01765,0.232012,0.0914282,-0.00659037,-0.0690035,0.0115708,
8035,1.49377,1.00569,0.235991,0.0966022,-0.00617787,-0.068199,0.0132128,
8158.5,1.48275,0.977117,0.233641,0.0965959,-0.00655694,-0.0695963,0.0129457,
8140,1.48563,0.977861,0.238078,0.0957506,-0.0074964,-0.0728848,0.0123613,
8363.5,1.47672,0.966966,0.22777,0.0888561,-0.00805458,-0.0735249,0.00974254,
8396,1.48541,0.975376,0.23329,0.090075,-0.00846426,-0.0751236,0.00994234,
8515.5,1.47922,0.971668,0.221898,0.0859166,-0.00789211,-0.0727895,0.00885687,
8518.5,1.47828,0.97026,0.221894,0.0858388,-0.00791494,-0.0728068,0.00881469,
8643.5,1.46849,0.95339,0.215375,0.0847188,-0.00754792,-0.0714281,0.00860163,
8731,1.47333,0.963788,0.212036,0.0854242,-0.00688374,-0.069046,0.00920817,
8704,1.48975,0.981455,0.221962,0.0864256,-0.00814982,-0.0747126,0.00876737,
8776,1.49046,0.980349,0.222743,0.0840563,-0.00928756,-0.078044,0.00678435,
8780,1.49003,0.979908,0.222279,0.083967,-0.00921134,-0.077728,0.00683676,
8971.5,1.47512,0.96386,0.216454,0.0821405,-0.00873673,-0.0753194,0.0066053,
9041.5,1.46666,0.954649,0.215366,0.0847179,-0.0079159,-0.073364,0.00826361,
9146.5,1.46618,0.959232,0.211845,0.0835218,-0.00708328,-0.0703623,0.008559,
9145.5,1.46634,0.959355,0.212014,0.0835125,-0.00710746,-0.0704485,0.00854226,
9181.5,1.46847,0.953679,0.220928,0.0854832,-0.00835158,-0.0747969,0.00826169,
9508.5,1.45088,0.937228,0.20233,0.0800611,-0.00702637,-0.0687906,0.00737973,
9654,1.44698,0.925607,0.202988,0.0798651,-0.00681874,-0.0679438,0.00754385,
9799.5,1.44191,0.927923,0.195202,0.079202,-0.00550073,-0.063418,0.00816848,
9799.5,1.44191,0.927923,0.195202,0.079202,-0.00550073,-0.063418,0.00816848,
10133,1.42425,0.889045,0.192687,0.079221,-0.00534702,-0.0620867,0.00819826,
10150,1.43554,0.919663,0.19487,0.0759617,-0.00594772,-0.0643621,0.0070738,
10283,1.43305,0.910752,0.198393,0.0749588,-0.00693657,-0.066993,0.00595343,
10283,1.43305,0.910752,0.198393,0.0749588,-0.00693657,-0.066993,0.00595343,
10230.5,1.46294,0.928587,0.230361,0.0791973,-0.0106867,-0.0753003,0.00047415,
10449.5,1.4678,0.936195,0.229989,0.0789771,-0.0106219,-0.0753996,0.00068485,
10564,1.46935,0.934168,0.228693,0.0792394,-0.0104134,-0.0764722,0.00231149,
10566,1.46891,0.933512,0.22854,0.0792291,-0.0104004,-0.076447,0.0023439,
